anchor,anchor_family,band_mode,window_width,phase,beta,length,memory_capacity,hotspot_offset,hotspot_alpha,hotspot_score,phase_lock_resistance,delayed_retention,pollution,rigidity_after_zipping
golden,phi_anchor,counter_double,0.18,0.0,0.011,2048,64,0.035999999999999976,0.6540339887498947,0.8447550524967988,0.6956550272788141,0.8490196078431372,0.027559055118110236,0.966796875
golden,phi_anchor,counter_double,0.18,0.0,0.029,2048,64,0.04799999999999997,0.6660339887498947,0.8509463476569602,0.7286178920530864,0.8078602620087336,0.0,0.9716796875
golden,phi_anchor,counter_double,0.18,0.13,0.011,2048,64,0.035999999999999976,0.6540339887498947,0.8447550524967988,0.6956550272788141,0.8490196078431372,0.027559055118110236,0.966796875
golden,phi_anchor,counter_double,0.18,0.13,0.029,2048,64,0.04799999999999997,0.6660339887498947,0.8509463476569602,0.7286178920530864,0.8078602620087336,0.0,0.9716796875
golden,phi_anchor,counter_double,0.24,0.0,0.011,2048,64,0.041999999999999975,0.6600339887498947,0.8146601103239833,0.6623160728051063,0.8432055749128919,0.10270270270270271,0.974609375
golden,phi_anchor,counter_double,0.24,0.0,0.029,2048,64,0.01799999999999998,0.6360339887498948,0.831846056688181,0.6741100429884435,0.8292682926829268,0.017341040462427744,0.9755859375
golden,phi_anchor,counter_double,0.24,0.13,0.011,2048,64,0.041999999999999975,0.6600339887498947,0.8146601103239833,0.6623160728051063,0.8432055749128919,0.10270270270270271,0.974609375
golden,phi_anchor,counter_double,0.24,0.13,0.029,2048,64,0.01799999999999998,0.6360339887498948,0.831846056688181,0.6741100429884435,0.8292682926829268,0.017341040462427744,0.9755859375
golden,phi_anchor,counter_triple,0.18,0.0,0.011,2048,64,-0.006000000000000012,0.6120339887498948,0.8854489875350007,0.8426209437685147,0.8646788990825688,0.0,0.94921875
golden,phi_anchor,counter_triple,0.18,0.0,0.029,2048,64,-0.030000000000000006,0.5880339887498948,0.8824886944122328,0.8477224069917407,0.8393939393939394,0.0,0.9560546875
golden,phi_anchor,counter_triple,0.18,0.13,0.011,2048,64,-0.006000000000000012,0.6120339887498948,0.8854489875350007,0.8426209437685147,0.8646788990825688,0.0,0.94921875
golden,phi_anchor,counter_triple,0.18,0.13,0.029,2048,64,-0.030000000000000006,0.5880339887498948,0.8824886944122328,0.8477224069917407,0.8393939393939394,0.0,0.9560546875
golden,phi_anchor,counter_triple,0.24,0.0,0.011,2048,64,-0.054,0.5640339887498947,0.8831296996524495,0.8254074094730338,0.9,0.0,0.951171875
golden,phi_anchor,counter_triple,0.24,0.0,0.029,2048,64,-0.042,0.5760339887498948,0.8691813509235811,0.8310601038288471,0.8270676691729323,0.0,0.96044921875
golden,phi_anchor,counter_triple,0.24,0.13,0.011,2048,64,-0.054,0.5640339887498947,0.8831296996524495,0.8254074094730338,0.9,0.0,0.951171875
golden,phi_anchor,counter_triple,0.24,0.13,0.029,2048,64,-0.042,0.5760339887498948,0.8691813509235811,0.8310601038288471,0.8270676691729323,0.0,0.96044921875
silver,metallic_anchor,counter_double,0.18,0.0,0.011,2048,64,-0.06,0.35421356237309515,0.817105068657144,0.6693609800339503,0.7801608579088471,0.05339805825242718,0.97265625
silver,metallic_anchor,counter_double,0.18,0.0,0.029,2048,64,0.04799999999999997,0.46221356237309513,0.868919965866315,0.702208154626688,0.9152046783625731,0.004608294930875576,0.97607421875
silver,metallic_anchor,counter_double,0.18,0.13,0.011,2048,64,-0.06,0.35421356237309515,0.817105068657144,0.6693609800339503,0.7801608579088471,0.05339805825242718,0.97265625
