anchor,anchor_family,band_mode,window_width,phase,beta,length,memory_capacity,hotspot_offset,hotspot_alpha,hotspot_score,phase_lock_resistance,delayed_retention,pollution,rigidity_after_zipping,perturbation,phase_lag,delay_steps,noise_amp,beta_scale,zip_threshold_delta,zero_share,memory_load,write_count,witness_count,release_count,zipper_energy,approx_period,autocorr_peak,spectral_peak,composite_score
golden,phi_anchor,counter_double,0.18,0.0,0.011,2048,64,0.035999999999999976,0.6540339887498947,0.8447550524967988,0.700369754136764,0.8292220113851992,0.01568627450980392,0.978515625,phase_small,0.01,0,0.0,1.0,0.0,0.73095703125,0.421875,255.0,1787.0,6.0,0.14951889916765418,182.0,0.6552130661015543,0.15723196285595012,0.8461592464887809
golden,phi_anchor,counter_double,0.18,0.0,0.011,2048,64,0.035999999999999976,0.6540339887498947,0.8447550524967988,0.6946679767652322,0.8490566037735849,0.01556420233463035,0.96728515625,phase_big,0.028,0,0.0,1.0,0.0,0.7314453125,0.453125,257.0,1747.0,44.0,0.14908822785833453,185.0,0.6708878721848577,0.1596140076774296,0.8471404341829993
golden,phi_anchor,counter_double,0.18,0.0,0.011,2048,64,0.035999999999999976,0.6540339887498947,0.8447550524967988,0.6913933905990142,0.8533834586466166,0.03076923076923077,0.97265625,delay_3,0.0,3,0.0,1.0,0.0,0.7294921875,0.46875,260.0,1784.0,4.0,0.14995788205017835,185.0,0.6786539479413465,0.16177614269796023,0.8451389582890658
golden,phi_anchor,counter_double,0.18,0.0,0.011,2048,64,0.035999999999999976,0.6540339887498947,0.8447550524967988,0.7067812141723406,0.8495412844036697,0.01953125,0.97412109375,delay_7,0.0,7,0.0,1.0,0.0,0.72607421875,0.46875,256.0,1768.0,24.0,0.15062221993059435,182.0,0.6470685196042715,0.14603612592506568,0.8507925544751361
golden,phi_anchor,counter_double,0.18,0.0,0.011,2048,64,0.035999999999999976,0.6540339887498947,0.8447550524967988,0.6984349504172762,0.8538461538461538,0.01984126984126984,0.96533203125,noise_small,0.0,0,0.0014,1.0,0.0,0.73046875,0.4375,252.0,1693.0,103.0,0.1494832395902122,224.0,0.675753941564717,0.1588049289879654,0.8480205153216603
golden,phi_anchor,counter_double,0.18,0.0,0.011,2048,64,0.035999999999999976,0.6540339887498947,0.8447550524967988,0.6977527576923483,0.85,0.015873015873015872,0.96875,noise_big,0.0,0,0.0036,1.0,0.0,0.73095703125,0.40625,252.0,1669.0,127.0,0.14951374913138854,224.0,0.675162397718154,0.16135494010705687,0.8484227314792543
golden,phi_anchor,counter_double,0.18,0.0,0.011,2048,64,0.035999999999999976,0.6540339887498947,0.8447550524967988,0.6895980103870238,0.8109243697478992,0.11643835616438356,0.9697265625,beta_loosen,0.0,0,0.0,0.82,0.0,0.7353515625,0.515625,292.0,1752.0,4.0,0.14776143556448146,169.0,0.6771174845849189,0.16095698726612404,0.8171950579149858
golden,phi_anchor,counter_double,0.18,0.0,0.011,2048,64,0.035999999999999976,0.6540339887498947,0.8447550524967988,0.4934502173098225,0.8497757847533632,0.016877637130801686,0.97509765625,beta_tighten,0.0,0,0.0,1.18,0.0,0.7421875,0.375,237.0,1764.0,47.0,0.1447620203954426,39.0,0.9281715503270779,0.14487213859424145,0.7931312530113971
golden,phi_anchor,counter_double,0.18,0.0,0.011,2048,64,0.035999999999999976,0.6540339887498947,0.8447550524967988,0.6916420307384135,0.8842105263157894,0.011450381679389313,0.966796875,zip_soft,0.0,0,0.0,1.0,-0.03,0.71923828125,0.421875,262.0,1758.0,28.0,0.14954122163148953,182.0,0.6748069896826655,0.1636622044877339,0.8544786560866674
golden,phi_anchor,counter_double,0.18,0.0,0.011,2048,64,0.035999999999999976,0.6540339887498947,0.8447550524967988,0.7009885502844586,0.8140043763676149,0.029914529914529916,0.9677734375,zip_hard,0.0,0,0.0,1.0,0.03,0.7451171875,0.453125,234.0,1689.0,125.0,0.14954122163148953,224.0,0.6781462871134893,0.1482671738752403,0.83881900092497
