anchor,anchor_family,model,global_hotspot_offset,hotspot_stability,phase_lock_resistance,delayed_retention,pollution,rigidity_after_zipping,center_share,closure_balance,composite_score,surrogate_gap
golden,phi_anchor,binary_baseline,0.02099999999999998,0.0,0.1485496820334276,0.0,0.998799331581954,0.963623046875,0.09613037109375,0.0,0.23755366103699843,-0.4481004400860261
golden,phi_anchor,ternary_baseline,0.04799999999999997,1.0,0.4143406057599312,0.3298009701457085,0.01699029126213592,0.96514892578125,0.82305908203125,0.9878205141176624,0.6259383744473579,-0.13924300955762647
golden,phi_anchor,observer_centered_closure,0.0059999999999999845,0.0,0.5997991863756538,0.0,1.0,0.978515625,0.03424072265625,0.8368412124733569,0.37564288091269615,-0.18761429776941574
silver,metallic_anchor,binary_baseline,-0.006000000000000012,0.0,0.37002010867620594,0.0,0.9994069231129747,0.9637451171875,0.0926513671875,0.0,0.30388553295550735,-0.35267119456322904
silver,metallic_anchor,ternary_baseline,-0.036000000000000004,0.0,0.5866141106304279,0.4316476804352728,0.7296246998642865,0.96343994140625,0.8238525390625,0.9980817023184797,0.5490161380221117,-0.20290303539294346
silver,metallic_anchor,observer_centered_closure,-0.048,0.75,0.5693856570722404,0.0,1.0,0.97808837890625,0.0341796875,0.8364400305574468,0.36643337290292216,-0.1956060027221689
bronze,metallic_anchor,binary_baseline,-0.01200000000000001,0.0,0.43400199535405404,0.03530092592592592,1.0,0.9639892578125,0.0924072265625,0.0,0.3328827094279755,-0.33240034045939415
bronze,metallic_anchor,ternary_baseline,-0.01200000000000001,0.0,0.5572916945877635,0.4681331699300392,0.7590227944280288,0.9638671875,0.82354736328125,0.9974787395946499,0.5440532186825737,-0.22775702711283696
bronze,metallic_anchor,observer_centered_closure,0.029999999999999978,0.5,0.3236677191858883,0.0,1.0,0.9775390625,0.03448486328125,0.8417461477767453,0.2926081282557665,-0.296227504231678
noble_a,noble_anchor,binary_baseline,0.032999999999999974,0.0,0.3545707959060589,0.0,1.0,0.96282958984375,0.09307861328125,0.0,0.29893715674056764,-0.3707135057433381
noble_a,noble_anchor,ternary_baseline,0.0059999999999999845,0.0,0.5773594269628065,0.5658865561360638,0.7688336488640032,0.96405029296875,0.82354736328125,0.998384001566554,0.5753227196506091,-0.17508359295779974
noble_a,noble_anchor,observer_centered_closure,0.014999999999999982,0.5,0.6570894167524955,0.0,0.9991765808982705,0.9779052734375,0.03436279296875,0.8342463092460373,0.3928890319156292,-0.1569496120486621
noble_b,noble_anchor,binary_baseline,0.05399999999999997,1.0,0.2906166640804394,0.5353296703296703,0.665763778882228,0.96368408203125,0.09222412109375,0.0,0.5033460919685993,-0.13229705257118413
noble_b,noble_anchor,ternary_baseline,-0.051000000000000004,0.75,0.423661891544904,0.42837707430653227,0.26834437323640536,0.96368408203125,0.824462890625,0.99644422565619,0.600745202563541,-0.1574316656323529
noble_b,noble_anchor,observer_centered_closure,0.05999999999999997,1.0,0.637419333264252,0.3382022782025736,0.8649560577526679,0.9783935546875,0.03424072265625,0.8359827264234756,0.5113108161079092,-0.017296884483300357
bounded_probe,bounded_anchor,binary_baseline,-0.021000000000000008,0.0,0.40645833413081955,0.0,1.0,0.96484375,0.09027099609375,0.0,0.3149062502392459,-0.33887210884286517
bounded_probe,bounded_anchor,ternary_baseline,-0.024000000000000007,0.75,0.5099178574055006,0.3357255909345547,0.062209302325581396,0.962646484375,0.82275390625,0.9685248437816864,0.6458217730466976,-0.11587151599966405
bounded_probe,bounded_anchor,observer_centered_closure,-0.021000000000000008,0.5,0.41520743899223,0.0,0.9996684350132626,0.97589111328125,0.0313720703125,0.8314841235000512,0.3198133986510012,-0.2701246152149095
random_bad_cf,random_bounded_cf,binary_baseline,0.04799999999999997,0.75,0.27916410587502427,0.17883776946099533,1.0,0.9638671875,0.0908203125,0.0,0.32659724471158597,-0.321080804529262
random_bad_cf,random_bounded_cf,ternary_baseline,-0.036000000000000004,0.75,0.411052389613235,0.3193202499668025,0.007281553398058253,0.9639892578125,0.8232421875,0.9992930924756449,0.6239212966896024,-0.12803678798736795
random_bad_cf,random_bounded_cf,observer_centered_closure,0.01799999999999998,0.5,0.5895697316066528,0.0,1.0,0.97772216796875,0.03448486328125,0.8322119047614684,0.3724153530757459,-0.18173902978636625
pi_mod1,constant_control,binary_baseline,-0.051000000000000004,0.75,0.475254843041481,0.4976366410690489,0.39753390403537203,0.96441650390625,0.0914306640625,0.0,0.6073405543052461,-0.01684435839989129
pi_mod1,constant_control,ternary_baseline,-0.051000000000000004,0.75,0.5741417352225937,0.11653620742741205,0.0,0.96417236328125,0.82391357421875,0.9947386423255155,0.6177071313027034,-0.14641798829067276
pi_mod1,constant_control,observer_centered_closure,-0.048,1.0,0.6524484439676458,0.3428261720678303,0.6476661493498215,0.97845458984375,0.03369140625,0.8353957596522014,0.5649302264810756,0.03093032708269433
e_mod1,constant_control,binary_baseline,-0.006000000000000012,0.0,0.49426674712647223,0.012152777777777778,1.0,0.963134765625,0.09234619140625,0.0,0.3443097550407195,-0.31665655099183376
e_mod1,constant_control,ternary_baseline,-0.045,0.5,0.5676406081056029,0.3343126233651967,0.053357314148681056,0.9635009765625,0.8243408203125,0.9928796544711102,0.664861303173726,-0.08803397110550093
e_mod1,constant_control,observer_centered_closure,0.011999999999999983,0.0,0.6033354077153686,0.0,1.0,0.978515625,0.03448486328125,0.8386940528896953,0.3767037473146106,-0.18745887251760823
fib_13_21,rational_control,binary_baseline,-1.3877787807814457e-17,0.5,0.39384794709240356,0.0,1.0,0.957427978515625,0.093963623046875,0.0,0.30963997983084607,-0.36553989253699926
fib_13_21,rational_control,ternary_baseline,0.050999999999999976,1.0,0.54472470780547,0.33523965721559923,0.0,0.96453857421875,0.82354736328125,0.9941490642752915,0.6701922312057588,-0.0867949117595046
fib_13_21,rational_control,observer_centered_closure,-0.045,0.75,0.5272317304632856,0.0,0.9991770775311,0.97784423828125,0.03387451171875,0.8406433405195932,0.35391940973839375,-0.21714060722909395
