block,kind,N,g_min,t_collision_predicted,t_collision_full_flow_zero_estimate,actual_to_predicted_ratio,event_pair_index_1based,same_as_initial_closest_pair,nfev,wall_seconds,active_window_relative_difference
A,odlyzko-primary,10000,0.037698499,0.00017764710335662517,0.0001778011615507941,1.0008672147828928,"[6709, 6710]",True,377,40.416420165999995,6.827620248787908e-09
A,poisson-control,10000,4.547532462037769e-06,2.5850064366609114e-12,2.585012605318803e-12,1.0000023863220624,"[6184, 6185]",True,269,29.880883917,2.04443938254816e-06
A,delete-event-pair-mutation,9998,0.04325406,0.00023386421331044997,0.00023411773825874138,1.0010840690189517,"[4765, 4766]",True,377,41.15751900000001,6.830243867893066e-09
B,odlyzko-primary,10000,0.0055569683,3.859987085900612e-06,3.86067467173709e-06,1.0001781316416807,"[8625, 8626]",True,413,24.269942,6.996995275462022e-09
B,poisson-control,10000,6.624813629192204e-05,5.486019452691347e-10,5.486020430059901e-10,1.000000178156232,"[9099, 9100]",True,293,17.098574582999987,2.1059199507284723e-07
B,delete-event-pair-mutation,9998,0.0113810798,1.6191122176746006e-05,1.6204289340133612e-05,1.0008132335266122,"[4240, 4241]",True,401,23.585445249999992,6.9270541443845385e-09
C,odlyzko-primary,10000,0.00530012,3.5114090018e-06,3.513946595619988e-06,1.0007226711040176,"[1635, 1636]",True,413,27.321206375000003,7.017279506928394e-09
C,poisson-control,10000,3.145274773956713e-05,1.2365941754610568e-10,1.2365961642432662e-10,1.0000016082739582,"[4800, 4801]",True,281,16.167357291000002,6.061435827986526e-07
C,delete-event-pair-mutation,9998,0.00924875,1.06924220703125e-05,1.0709525572209294e-05,1.001599590979885,"[6360, 6361]",True,401,23.581893792000017,6.940864747611659e-09
D,odlyzko-primary,10000,0.00881124,9.7047437922e-06,9.802134668309658e-06,1.0100353886918616,"[6442, 6443]",True,401,23.16970441699999,7.021709878432788e-09
D,poisson-control,10000,2.8123744905904068e-05,9.886812844154563e-11,9.886799351547016e-11,0.9999986352925093,"[2393, 2394]",True,233,13.486101374999976,1.2569944211093682e-06
D,delete-event-pair-mutation,9998,0.01053759,1.3880100376012499e-05,1.393289382523142e-05,1.003803535117812,"[3763, 3764]",True,401,23.479706291000014,6.9366532760875335e-09
