status,block,kind,N,density,g_min,g_min_unfolded,initial_pair_index_1based,event_pair_index_1based,event_pair_global_ordinals,same_as_initial_closest_pair,event_threshold,t_collision_predicted,t_collision_actual_zero_estimate,actual_to_predicted_ratio,actual_time_to_odlyzko_ratio
MEASURED,A,odlyzko-primary,10000,1.0767299035914693,0.037698499,0.0405911011938131,"[6709,6710]","[6709,6710]","[""6709"",""6710""]",True,3.7698499e-05,0.00017764710335662517,0.0001778011627647529,1.0008672216164338,
MEASURED,B,odlyzko-primary,10000,3.895330222240132,0.0055569683,0.02164622656302037,"[8625,8626]","[8625,8626]","[""1000000008625"",""1000000008626""]",True,5.5569683e-06,3.859987085900612e-06,3.8606746987502125e-06,1.0001781386399224,
MEASURED,C,odlyzko-primary,10000,7.095078917553774,0.00530012,0.03760476967250511,"[1635,1636]","[1635,1636]","[""1000000000000000001635"",""1000000000000000001636""]",True,5.30012e-06,3.5114090018e-06,3.5139466202783334e-06,1.0007226781263683,
MEASURED,D,odlyzko-primary,10000,7.453527085149451,0.00881124,0.06567481599375224,"[6442,6443]","[6442,6443]","[""10000000000000000006442"",""10000000000000000006443""]",True,8.81124e-06,9.7047437922e-06,9.802134737137404e-06,1.0100353957840371,
MEASURED,A,poisson-control,10000,1.0767299035914693,4.547532462037769e-06,4.896464189429004e-06,"[6184,6185]","[6184,6185]",,True,4.547532462037769e-09,2.5850064366609114e-12,2.585007320417228e-12,1.0000003418778012,1.453875374165819e-08
MEASURED,B,poisson-control,10000,3.895330222240132,6.624813629192204e-05,0.00025805836746500724,"[9099,9100]","[9099,9100]",,True,6.624813629192203e-08,5.486019452691347e-10,5.486021585371888e-10,1.0000003887482645,0.00014210007352206695
MEASURED,C,poisson-control,10000,7.095078917553774,3.145274773956713e-05,0.00022315972738613988,"[4800,4801]","[4800,4801]",,True,3.145274773956713e-08,1.2365941754610568e-10,1.2365954146884367e-10,1.0000010021294006,3.519106999384322e-05
MEASURED,D,poisson-control,10000,7.453527085149451,2.8123744905904068e-05,0.0002096210943919899,"[2393,2394]","[2393,2394]",,True,2.812374490590407e-08,9.886812844154563e-11,9.886811779198644e-11,0.999999892285215,1.0086386327399095e-05
MEASURED,A,delete-event-pair-mutation,9998,1.0767299035914693,0.04325406,0.04657293985373962,"[4765,4766]","[4765,4766]","[""4765"",""4766""]",True,4.325406e-05,0.00023386421331044997,0.00023411773985782263,1.0010840758566002,
MEASURED,B,delete-event-pair-mutation,9998,3.895330222240132,0.0113810798,0.04433306410666668,"[4240,4241]","[4240,4241]","[""1000000004240"",""1000000004241""]",True,1.13810798e-05,1.6191122176746006e-05,1.62042894523816e-05,1.0008132404592998,
MEASURED,C,delete-event-pair-mutation,9998,7.095078917553774,0.00924875,0.06562061113872547,"[6360,6361]","[6360,6361]","[""1000000000000000006362"",""1000000000000000006363""]",True,9.24875e-06,1.06924220703125e-05,1.0709525646542662e-05,1.0015995979318522,
MEASURED,D,delete-event-pair-mutation,9998,7.453527085149451,0.01053759,0.0785422124772,"[3763,3764]","[3763,3764]","[""10000000000000000003763"",""10000000000000000003764""]",True,1.053759e-05,1.3880100376012499e-05,1.3932893921879073e-05,1.003803542080849,
