case,t,index,root,local_winding,radius,abs_derivative
primary_t_0.2,0.2,1,210.756151508535494691409086829739274737276658,1,0.2,5.75866280405450459e-34
primary_t_0.2,0.2,2,214.282549244961654195417612438332403220437338,1,0.2,2.31324499598276756e-34
primary_t_0.2,0.2,3,221.690991755641237087851010989469912950810377,1,0.2,8.45070171450500436e-36
primary_t_0.2,0.2,4,223.735620474832838907761625562020347311838809,1,0.2,3.21869092326628704e-36
primary_t_0.2,0.2,5,228.483233432974439630605886500324935746555732,1,0.2,8.32879932656664562e-37
primary_t_0.2,0.2,6,232.347161590853561543872187857437270606303176,1,0.2,2.29395409070619195e-37
primary_t_0.2,0.2,7,237.41989632782077920168303733596023560081819,1,0.2,3.97689991789680342e-38
primary_t_0.2,0.2,8,242.495790269255026780967270227474172623856706,1,0.2,3.49582175517774538e-39
primary_t_0.2,0.2,9,245.722066206779499829546307267903542090758414,1,0.2,7.14306680644895125e-40
primary_t_0.2,0.2,10,248.502394417167049135643636777108578332465726,1,0.2,3.59199483362159928e-40
primary_t_0.2,0.2,11,254.822990330672805352441049402560590831401172,1,0.2,4.96379351373348206e-41
primary_t_0.2,0.2,12,258.944923285973348591835284825218025883504531,1,0.2,6.30513496954338124e-42
primary_t_0.2,0.2,13,262.076906042747324239205109242383205591709599,1,0.2,1.85542286969986403e-42
primary_t_0.2,0.2,14,266.777115916590060208091430416015960605753579,1,0.2,3.04765391138767894e-43
primary_t_0.2,0.2,15,269.489878050551779774756162996671844606785198,1,0.2,1.32321002090188329e-43
primary_t_0.2,0.2,16,275.969604921121342705720454328552652927397603,1,0.2,1.17512465226485479e-44
primary_t_0.2,0.2,17,279.275876814787041414001679046935313660585686,1,0.2,1.95003172836434438e-45
primary_t_0.2,0.2,18,282.169594059649301557181311232485208402769587,1,0.2,7.07285229425526605e-46
primary_t_0.2,0.2,19,286.132098749598904042587664407753614640563506,1,0.2,2.67999049128267223e-46
primary_t_0.2,0.2,20,291.753537604664631535751206229439939791661696,1,0.2,2.73385262148569442e-47
primary_t_0.2,0.2,21,294.743271862341181813269849858560043437145861,1,0.2,7.45743229612724391e-48
primary_t_0.2,0.2,22,299.786513626223677523050581786863888020785026,1,0.064045912132896743085,6.94735832440049626e-49
convergence_t_0.2,0.2,1,210.756151508535494691409086829739274737271334,1,0.2,5.75866280405450459e-34
convergence_t_0.2,0.2,2,214.282549244961654195417612438332403220447973,1,0.2,2.31324499598276756e-34
convergence_t_0.2,0.2,3,221.690991755641237087851010989469912950597555,1,0.2,8.45070171450500436e-36
convergence_t_0.2,0.2,4,223.735620474832838907761625562020347312259657,1,0.2,3.21869092326628704e-36
convergence_t_0.2,0.2,5,228.483233432974439630605886500324935745074671,1,0.2,8.32879932656664562e-37
convergence_t_0.2,0.2,6,232.347161590853561543872187857437270608123761,1,0.2,2.29395409070619195e-37
convergence_t_0.2,0.2,7,237.41989632782077920168303733596023560448692,1,0.2,3.97689991789680342e-38
convergence_t_0.2,0.2,8,242.495790269255026780967270227474172609605995,1,0.2,3.49582175517774538e-39
convergence_t_0.2,0.2,9,245.722066206779499829546307267903541623886002,1,0.2,7.14306680644895125e-40
convergence_t_0.2,0.2,10,248.502394417167049135643636777108579211228297,1,0.2,3.59199483362159928e-40
convergence_t_0.2,0.2,11,254.82299033067280535244104940256056931053209,1,0.2,4.96379351373348206e-41
convergence_t_0.2,0.2,12,258.944923285973348591835284825218179415392767,1,0.2,6.30513496954338124e-42
convergence_t_0.2,0.2,13,262.076906042747324239205109242382467546610947,1,0.2,1.85542286969986403e-42
convergence_t_0.2,0.2,14,266.777115916590060208091430416018819691876832,1,0.2,3.04765391138767894e-43
convergence_t_0.2,0.2,15,269.489878050551779774756162996664226318792233,1,0.2,1.32321002090188329e-43
convergence_t_0.2,0.2,16,275.969604921121342705720454328638597541687902,1,0.2,1.17512465226485479e-44
convergence_t_0.2,0.2,17,279.275876814787041414001679046318060076805287,1,0.2,1.95003172836434438e-45
convergence_t_0.2,0.2,18,282.169594059649301557181311235194451641064646,1,0.2,7.07285229425526605e-46
convergence_t_0.2,0.2,19,286.132098749598904042587664399857985208262979,1,0.2,2.67999049128267223e-46
convergence_t_0.2,0.2,20,291.753537604664631535751206343287966722400737,1,0.2,2.73385262148569442e-47
convergence_t_0.2,0.2,21,294.743271862341181813269849556957008901052141,1,0.2,7.45743229612724391e-48
convergence_t_0.2,0.2,22,299.786513626223677523050584813489497425238219,1,0.064045912132896743085,6.94735832440049626e-49
control_t_0,0.0,1,210.893246104652188987341664828223617994571388,1,0.2,4.90574617409179263e-34
control_t_0,0.0,2,214.337222368552815030246703926172382426939861,1,0.2,2.07749133363880804e-34
control_t_0,0.0,3,222.059071086339349049312900619888700830978709,1,0.2,5.6826010422048798e-36
